Country,3TC,ABC,AZT,ddl,d4T,EFV,FTC,LPV/r,NVP,TDF,ATV/r,Overall Treatment Impact
Afghanistan,35.66780209180118,3.48311413740718,15.831562541278737,0.10264222719528338,0.5238357521197287,21.363379681522858,7.057697954163325,4.61225938293852,16.425901314721337,23.749158708244508,0.41262828341552094,129.22998207480816
Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,186.16683228137524,3.7142387496911136,70.80180193840617,0.08826703707307838,0.45592540352179783,140.01489989497384,49.13222219554722,15.754865045644236,77.09206588876421,164.9928191183515,2.5134754857284016,710.7274130390769
American Samoa,0.05496046068715841,0.0002192879375863268,0.020440843553744887,0.0,0.0,0.042521293850358494,0.015477831448499334,0.004610894755255575,0.022443534330602383,0.051344735203535476,0.0008625691994412899,0.21288145096618216
Andorra,0.17692688878807117,0.0007059244420592481,0.06580248434876733,0.0,0.0,0.1368831362424345,0.049825720693221796,0.01484323918280428,0.07224947995113046,0.16528726545648179,0.0027767541049236984,0.6853008932098943
Angola,1085.3310642575154,84.8232447182707,466.42702955073287,2.455044855470437,12.552466809595435,689.4708749217305,232.39953882774452,128.13107532632878,489.1569809572696,780.4091667158718,13.092495294686167,3984.2489822352163
Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,0.8265182264445096,0.003297743049975442,0.30739789204529683,0.0,0.0,0.6394528710261652,0.2327620554499784,0.06934054969314643,0.3375151874301915,0.7721434454352137,0.012971673744984678,3.2013996443194617
Argentina,3783.1752399206757,122.25680156146846,1502.6651064703356,3.1369011725742917,16.203024145127287,2719.586642098615,953.9801014231614,350.7388265300557,1618.611918268348,3192.017670876372,50.92785033270147,14313.300082799435
Armenia,5.90641799117964,0.023988328044019135,2.2061462006708528,0.0,0.0,4.553170883270851,1.6639497916414674,0.5030584230651577,2.4198041705442366,5.5115322881879,0.09433430594086352,22.88240238254499
Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,28.294965713352294,0.4196127554060121,10.592121525289024,0.009244046328681126,0.047713657916448035,21.621489553070838,7.615524869655866,2.3268123552179163,11.581832950725236,25.56709451853699,0.38834143165108814,108.46475337715039
Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,25.93441380667335,0.4094426645812235,9.97188420634325,0.008937845529750119,0.04608649812162042,19.374910971738203,7.002043411171474,2.328492876948555,10.845178621019524,23.237267939954027,0.3955959245370408,99.55425476661802
Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,38.03194226330451,0.1517444737007262,14.1448046855784,0.0,0.0,29.42419645794004,10.710463206652575,3.1906807352331206,15.530641322397077,35.52990605192981,0.5968869543868454,147.3112661511231
Bangladesh,96.36547232981133,5.811427932900002,40.35280129553894,0.16451770576381264,0.8420048873704438,63.9966336434587,22.171493250899694,10.711413231087409,42.69378891230079,74.03099206459133,1.2772508339402542,358.4177960876627
Barbados,17.258691395366448,0.06814839034800343,6.402401313678609,0.0,0.0,13.380694001079558,4.8590119224376,1.4351223089512788,7.033786497224959,16.134116638240172,0.26810051054825834,66.84007297787488
Belarus,131.77771577761305,1.0527283620806216,49.84185607078335,0.014941540526451299,0.07716629599079204,100.31036687455465,36.60652842663555,11.515944222504938,54.477439791926116,121.2299824757642,2.0934009614115334,508.99807079979126
